"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19001","Adair County, Iowa","3260","108","100","41","191","64","134","47","124","53","122","48","165","50","95","38","129","49","172","56","282","68","289","74","494","90","274","79","245","61","261","63","183","64",
"0500000US19003","Adams County, Iowa","1530","85","71","29","75","30","89","37","56","23","28","19","56","50","61","27","7","8","79","37","163","48","166","47","218","68","197","55","41","20","92","39","131","46",
"0500000US19005","Allamakee County, Iowa","6024","202","195","73","151","61","270","100","228","64","326","110","240","84","133","57","278","77","373","105","507","125","789","143","858","143","629","126","398","105","338","89","311","122",
"0500000US19007","Appanoose County, Iowa","5006","173","303","122","400","142","228","81","287","105","217","60","304","99","183","79","282","95","244","106","316","94","554","130","715","125","323","83","232","83","306","93","112","37",
"0500000US19009","Audubon County, Iowa","2525","81","142","49","41","22","144","66","90","44","188","68","154","60","182","58","177","59","79","42","179","60","200","57","358","73","191","54","113","54","181","58","106","33",
"0500000US19011","Benton County, Iowa","10111","219","357","107","331","153","246","72","352","112","241","89","287","103","372","109","363","108","214","71","566","111","1075","189","1559","198","1187","172","923","169","1234","192","804","134",
"0500000US19013","Black Hawk County, Iowa","53740","690","2423","364","2357","336","1918","267","2188","319","2126","328","2191","398","2392","326","2465","423","2278","324","4630","494","5686","449","7276","511","4967","423","3432","339","3631","458","3780","465",
"0500000US19015","Boone County, Iowa","10935","261","287","110","240","96","342","134","401","106","300","98","427","125","399","169","377","138","409","132","731","155","1302","231","1579","206","1411","188","1053","211","916","227","761","138",
"0500000US19017","Bremer County, Iowa","9693","189","358","103","191","63","200","69","355","102","205","71","247","99","352","99","285","77","348","73","814","145","849","131","1796","217","1458","193","805","137","740","137","690","150",
"0500000US19019","Buchanan County, Iowa","8150","207","206","80","223","75","303","82","343","126","265","82","263","75","230","73","319","94","365","102","588","120","820","146","1352","201","1093","147","661","118","641","153","478","104",
"0500000US19021","Buena Vista County, Iowa","7543","198","211","75","162","77","225","95","282","103","251","93","278","122","390","162","289","97","503","175","893","234","710","132","1049","193","714","140","594","156","563","157","429","127",
"0500000US19023","Butler County, Iowa","5887","118","201","55","166","51","168","44","201","63","261","71","186","47","285","80","202","52","247","74","548","97","753","107","904","115","602","93","447","79","482","92","234","64",
"0500000US19025","Calhoun County, Iowa","3886","143","143","39","117","37","179","41","195","55","99","29","198","52","158","50","208","55","132","39","331","67","439","83","557","78","462","94","205","57","258","48","205","53",
"0500000US19027","Carroll County, Iowa","8750","201","236","83","425","130","408","137","263","88","369","107","359","90","373","151","413","112","340","102","668","142","1013","182","1070","191","1095","190","646","154","571","113","501","125",
"0500000US19029","Cass County, Iowa","5789","147","346","86","313","105","304","90","257","98","298","128","296","108","233","94","171","69","160","57","431","117","582","137","700","112","672","147","354","101","296","83","376","109",
"0500000US19031","Cedar County, Iowa","7539","190","146","65","267","78","189","73","318","93","226","88","302","96","131","53","337","85","325","97","571","112","645","132","1310","202","996","184","693","147","678","114","405","94",
"0500000US19033","Cerro Gordo County, Iowa","19421","400","608","204","695","175","744","180","934","210","972","231","904","203","826","182","972","238","689","171","1562","296","2307","394","2520","322","2143","328","834","184","1325","243","1386","242",
"0500000US19035","Cherokee County, Iowa","5082","130","244","93","229","92","181","64","279","90","180","82","227","95","230","81","198","79","241","113","359","95","512","121","710","130","568","133","296","71","294","111","334","103",
"0500000US19037","Chickasaw County, Iowa","4985","130","154","55","142","49","272","93","193","77","139","52","150","50","260","86","167","67","191","69","284","91","622","130","904","142","521","122","353","102","338","103","295","83",
