depth,n_trees,rmse
3,30_trees,6715.099182393072
5,30_trees,5253.0639209506235
7,30_trees,4820.908463660759
10,30_trees,4458.050179988881
15,30_trees,4362.06178755087
20,30_trees,4406.262754408066
25,30_trees,4420.066111899779
3,50_trees,6670.892576210109
5,50_trees,5189.334436442068
7,50_trees,4658.500534533515
10,50_trees,4318.008651949253
15,50_trees,4220.175624351476
20,50_trees,4177.99059177774
25,50_trees,4201.77796861993
3,70_trees,6655.187855412297
5,70_trees,5165.361526192464
7,70_trees,4609.491778802321
10,70_trees,4299.039006953542
15,70_trees,4213.438204879087
20,70_trees,4149.62444269982
25,70_trees,4206.998935533295
3,100_trees,6618.238832896564
5,100_trees,5140.7721829267
7,100_trees,4587.701533721897
10,100_trees,4259.9811011344655
15,100_trees,4166.037106573987
20,100_trees,4131.989223134013
25,100_trees,4167.686257373785
